epoch,class,auroc,auprc,prevalence,sensitivity,specificity,bal_acc
0,Enlarged Cardiomediastinum,0.6261611501072253,0.12772564341927994,0.04580000042915344,0.14410480349344978,0.9786208342066652,0.5613628188500575
0,Cardiomegaly,0.8594768313347236,0.5307813484073749,0.12319999933242798,0.512987012987013,0.9386405109489051,0.725813761967959
0,Lung Opacity,0.7084619816672824,0.6717038304105408,0.501800000667572,0.5831008369868473,0.6832597350461662,0.6331802860165068
0,Lung Lesion,0.8258727201666184,0.23459255555433797,0.04019999876618385,0.18407960199004975,0.9866638883100646,0.5853717451500572
0,Edema,0.8277349986990643,0.5962360462162042,0.25540000200271606,0.3774471417384495,0.9304324469513833,0.6539397943449163
0,Consolidation,0.7288798125051232,0.17502690813184377,0.06920000165700912,0.13583815028901733,0.9684142672969489,0.5521262087929831
0,Pneumonia,0.7644092322496787,0.0700115641530275,0.02280000038444996,0.017543859649122806,0.9965206713057716,0.5070322654774472
0,Atelectasis,0.6975146422205246,0.2635878035734961,0.15299999713897705,0.030065359477124184,0.9889020070838253,0.5094836832804747
0,Pneumothorax,0.8982473085134317,0.5509515352072387,0.09700000286102295,0.6,0.9517165005537098,0.775858250276855
0,Pleural Effusion,0.871696767886152,0.8045944299915919,0.39719998836517334,0.7522658610271903,0.8258128732581287,0.7890393671426594
0,Pleural Other,0.815529641739891,0.06311620659271404,0.012600000016391277,0.031746031746031744,0.9985821348997367,0.5151640833228842
0,Fracture,0.7734337935808995,0.16779078111712264,0.03539999946951866,0.1694915254237288,0.9819614347916235,0.5757264801076761
0,Support Devices,0.8874579799270456,0.8842961113582674,0.5712000131607056,0.9268207282913166,0.7388059701492538,0.8328133492202852
