epoch,class,auroc,auprc,prevalence,sensitivity,specificity,bal_acc
0,Enlarged Cardiomediastinum,0.7198626926966754,0.18062573114861968,0.04904017597436905,0.5957219251336898,0.7203132756053169,0.6580176003695033
0,Cardiomegaly,0.8723280893914844,0.5485747132984226,0.12089583277702332,0.7783080260303687,0.8183282620368713,0.79831814403362
0,Lung Opacity,0.7317264260457821,0.6945053526887037,0.5004720687866211,0.7456508069587089,0.5971230575388492,0.6713869322487791
0,Lung Lesion,0.8286508900287379,0.22049149931041062,0.03540333732962608,0.6577777777777778,0.8302430536675548,0.7440104157226664
0,Edema,0.838072008021463,0.604357393245323,0.2554285228252411,0.8069815195071869,0.7188644688644689,0.7629229941858279
0,Consolidation,0.7421144562503319,0.18364574515286697,0.06996747851371765,0.704647676161919,0.6377171215880894,0.6711823988750042
0,Pneumonia,0.7748543359058574,0.1128557571708294,0.025595299899578094,0.4672131147540984,0.8849176445257831,0.6760653796399407
0,Atelectasis,0.7154417073965957,0.30553775093640134,0.15388649702072144,0.7556237218813906,0.556223654847508,0.6559236883644493
0,Pneumothorax,0.9106539802059184,0.6131698211028226,0.09881464391946793,0.8370488322717622,0.8425096030729834,0.8397792176723728
0,Pleural Effusion,0.8769777901890233,0.8109935588715824,0.3938424289226532,0.8187508323345319,0.7787488102448732,0.7987498212897026
0,Pleural Other,0.8488422846691054,0.09635054570176746,0.013007448054850101,0.43951612903225806,0.9394197045382081,0.6894679167852331
0,Fracture,0.8090323680621131,0.2224113058479147,0.037029266357421875,0.5835694050991501,0.8453159041394336,0.7144426546192919
0,Support Devices,0.900166148146696,0.8947523409585333,0.5642504692077637,0.9002602714259156,0.7897207510832932,0.8449905112546043
