epoch,class,auroc,auprc,prevalence,sensitivity,specificity,bal_acc
0,Enlarged Cardiomediastinum,0.7147620540587414,0.17798519631202975,0.04904017597436905,0.5540106951871657,0.7459599580828415,0.6499853266350036
0,Cardiomegaly,0.8743531654221057,0.5505301648336047,0.12089583277702332,0.7852494577006508,0.8121830439711234,0.7987162508358872
0,Lung Opacity,0.7346460983167677,0.695453609529623,0.5004720687866211,0.7326556277509956,0.6102477950440991,0.6714517113975473
0,Lung Lesion,0.8335103925631902,0.23226085559912577,0.03540333732962608,0.6533333333333333,0.8281768256212277,0.7407550794772806
0,Edema,0.8392244930607748,0.6063006438163181,0.2554285228252411,0.7942505133470226,0.7312623274161736,0.7627564203815981
0,Consolidation,0.7443912969073776,0.189896106093008,0.06996747851371765,0.7203898050974513,0.6263252876156102,0.6733575463565308
0,Pneumonia,0.7741222651858622,0.113172632859464,0.025595299899578094,0.4569672131147541,0.8899773926149209,0.6734723028648375
0,Atelectasis,0.719073364325095,0.31144827208661585,0.15388649702072144,0.7280163599182005,0.5923010166129432,0.6601586882655719
0,Pneumothorax,0.9141108208091171,0.6170235984235828,0.09881464391946793,0.8370488322717622,0.8486206495169363,0.8428347408943493
0,Pleural Effusion,0.8807718067787087,0.8132208656174663,0.3938424289226532,0.8363297376481555,0.7736436791554901,0.8049867084018228
0,Pleural Other,0.859358232851868,0.09466583498519149,0.013007448054850101,0.4435483870967742,0.9354341587841428,0.6894912729404585
0,Fracture,0.8112304970776474,0.2278249735341913,0.037029266357421875,0.623229461756374,0.8257625272331155,0.7244959944947447
0,Support Devices,0.9015006120558535,0.8970844263622475,0.5642504692077637,0.9039784346532813,0.7911651420317766,0.8475717883425289
