epoch,class,auroc,auprc,prevalence,sensitivity,specificity,bal_acc
0,Enlarged Cardiomediastinum,0.6233896750656028,0.13910934143173148,0.04580000042915344,0.13100436681222707,0.9815552295116328,0.55627979816193
0,Cardiomegaly,0.860383500509527,0.5393661977542326,0.12319999933242798,0.5113636363636364,0.9413777372262774,0.7263706867949569
0,Lung Opacity,0.7100357620634763,0.665562129313454,0.501800000667572,0.6329214826624153,0.6615816940987556,0.6472515883805854
0,Lung Lesion,0.8394125434506982,0.25668670139849764,0.04019999876618385,0.21890547263681592,0.9837466138778912,0.6013260432573535
0,Edema,0.8239693319964301,0.5935094887263472,0.25540000200271606,0.35160532498042285,0.9368788611334945,0.6442420930569587
0,Consolidation,0.7277408829746802,0.17270044908622847,0.06920000165700912,0.1329479768786127,0.9718521701761925,0.5524000735274026
0,Pneumonia,0.7545574179000509,0.07428152495438406,0.02280000038444996,0.008771929824561403,0.9987720016373312,0.5037719657309463
0,Atelectasis,0.7019945829571498,0.27231486142446626,0.15299999713897705,0.022222222222222223,0.9926800472255017,0.5074511347238619
0,Pneumothorax,0.902536105307623,0.5529550968240158,0.09700000286102295,0.6247422680412371,0.9472868217054263,0.7860145448733318
0,Pleural Effusion,0.8673861523030156,0.802446540655591,0.39719998836517334,0.7265861027190332,0.8337757133377571,0.7801809080283952
0,Pleural Other,0.8415013294494761,0.07683220783816562,0.012600000016391277,0.015873015873015872,0.9981770305853758,0.5070250232291958
0,Fracture,0.7755189059954011,0.18126668009830418,0.03539999946951866,0.20903954802259886,0.9800953763217914,0.5945674621721951
0,Support Devices,0.8845911265625653,0.8817073763369057,0.5712000131607056,0.9268207282913166,0.7355410447761194,0.831180886533718
