epoch,class,auroc,auprc,prevalence,sensitivity,specificity,bal_acc
0,Enlarged Cardiomediastinum,0.5901864338676446,0.06670897578317711,0.04580000042915344,0.008733624454148471,0.9974848040243136,0.503109214239231
0,Cardiomegaly,0.7297446366361742,0.3015972046721153,0.12319999933242798,0.07792207792207792,0.9906478102189781,0.534284944070528
0,Lung Opacity,0.6082481228956726,0.5872525608343806,0.501800000667572,0.6927062574730969,0.4600562023283822,0.5763812299007396
0,Lung Lesion,0.7111483632058503,0.08793650823793756,0.04019999876618385,0.029850746268656716,0.990414669722859,0.5101327079957578
0,Edema,0.72688736085932,0.43684622526307276,0.25540000200271606,0.18324197337509787,0.9349986569970454,0.5591203151860716
0,Consolidation,0.6233176880599944,0.102899066694966,0.06920000165700912,0.011560693641618497,0.9933390631714654,0.502449878406542
0,Pneumonia,0.5950433031001572,0.02923954465641028,0.02280000038444996,0.0,0.9997953336062219,0.49989766680311093
0,Atelectasis,0.5641964333942944,0.18411196908851363,0.15299999713897705,0.00784313725490196,0.9952774498229043,0.5015602935389032
0,Pneumothorax,0.732807023552648,0.26802418569319003,0.09700000286102295,0.020618556701030927,0.997563676633444,0.5090911166672375
0,Pleural Effusion,0.7387622448045409,0.6267466548033206,0.39719998836517334,0.473313192346425,0.8248175182481752,0.6490653552973
0,Pleural Other,0.6829287112860133,0.03086950993280131,0.012600000016391277,0.0,1.0,0.5
0,Fracture,0.6364225796589084,0.0784197163420909,0.03539999946951866,0.01694915254237288,0.998755961020112,0.5078525567812424
0,Support Devices,0.8132739336406204,0.8269729762103105,0.5712000131607056,0.8326330532212886,0.659981343283582,0.7463071982524353
